id	question	answerKey	text	leng	answer
Mercury_7220990	Which factor will most likely cause a person to develop a fever?	B	"['a leg muscle relaxing after exercise'
 'a bacterial population in the bloodstream'
 'several viral particles on the skin'
 'carbohydrates being digested in the stomach']"	4	1
MCAS_2007_8_5189	Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?	B	['carbon dioxide' 'food' 'protection' 'water']	4	1
Mercury_SC_401169	When a switch is used in an electrical circuit, the switch can	D	"['cause the charge to build.' 'increase and decrease the voltage.'
 'cause the current to change direction.'
 'stop and start the flow of current.']"	4	3
MCAS_2004_8_27	Which of the following is an example of an assistive device?	A	['contact lens' 'motorcycle' 'raincoat' 'coffee pot']	4	0
NYSEDREGENTS_2006_8_10	Rocks are classified as igneous, metamorphic, or sedimentary according to	3	['their color' 'their shape' 'how they formed' 'the minerals they contain']	4	2
Mercury_7013388	A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate	C	"['has a pleasant flavor.' 'is inexpensive to produce.'
 'neutralizes digestive acid.' 'occurs naturally in the body.']"	4	2
Mercury_7179953	Which two body systems are directly involved in movement?	A	"['muscular and skeletal' 'digestive and muscular'
 'skeletal and respiratory' 'respiratory and digestive']"	4	0
Mercury_7205118	Which change in the state of water particles causes the particles to become arranged in a fixed position?	C	['boiling' 'melting' 'freezing' 'evaporating']	4	2
MCAS_2016_8_13	Earth's core is primarily composed of which of the following materials?	B	['basalt' 'iron' 'magma' 'quartz']	4	1
Mercury_7283255	Which of the following events during meiosis contributes most to the variation within a species?	C	"['pairing of chromosomes' 'creation of haploid gametes'
 'segregation of alleles' 'separation of chromatids']"	4	2
MCAS_2005_5_29	Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?	A	['plant decomposition' 'radioactive decay' 'water erosion' 'wind erosion']	4	0
MCAS_2001_8_7	When igneous rock is changed into metamorphic rock, which form of energy is this process?	A	['heat' 'chemical' 'magnetic' 'light']	4	0
Mercury_SC_400329	In humans, the digestion process begins in	B	"['the intestine, with squeezing.' 'the mouth, with chewing and saliva.'
 'the stomach, with churning and acid.'
 'the esophagus, with pushing towards the stomach.']"	4	1
Mercury_SC_407440	Which of these items contains only a solution?	B	"['a jar of pickles' 'a bottle of juice' 'a bag of peanuts'
 'a can of mixed fruit']"	4	1
MCAS_2016_8_7	Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?	A	"['chemical weathering' 'mechanical weathering' 'water erosion'
 'wind erosion']"	4	0
MEA_2016_8_8	A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?	A	"['It would be mostly light brown beetles.'
 'It would be mostly dark green beetles.'
 'It would be mostly carnivorous beetles.'
 'It would be mostly very large beetles.']"	4	0
Mercury_SC_400124	A scientist wanting to document a change in a river's flow pattern should observe a river over a period of	D	['days.' 'weeks.' 'months.' 'years.']	4	3
Mercury_405944	Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing	A	['air pollution.' 'heat pollution.' 'noise pollution.' 'light pollution.']	4	0
Mercury_SC_405129	"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?"	B	"['an increased loudness of sound' 'a reflection of sound'
 'an increased frequency of sound' 'a refraction of sound']"	4	1
NYSEDREGENTS_2011_8_4	Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?	1	['chemical' 'nuclear' 'magnetic' 'electrical']	4	0
Mercury_SC_406063	A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?	C	['conduction' 'convection' 'radiation' 'transformation']	4	2
Mercury_412056	In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?	B	['both red' 'both white' 'one red and one white' 'one white and one pink']	4	1
Mercury_7016590	"Scientists use the term ""light year"" to describe"	B	"['how fast light travels in space.'
 'the distance light travels in one year.'
 'how large the diameters of different stars are.'
 'the time it takes the Sun to move through the galaxy.']"	4	1
Mercury_7148628	Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?	D	['convergent' 'subduction' 'transform' 'divergent']	4	3
NYSEDREGENTS_2007_8_7	Which group of organisms can show significant trait changes in the shortest period of time?	1	['bacteria' 'birds' 'fish' 'reptiles']	4	0
CSZ10336	Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?	A	"['to attract bees for pollination' 'to create flower arrangements'
 'to protect the tree from disease' 'to feed migratory birds']"	4	0
Mercury_7109393	A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?	A	['tree rings' 'pollen samples' 'harvest production' 'carbon dating']	4	0
Mercury_SC_LBS10953	Which of these would help to prevent infections from occurring in small cuts and scrapes?	D	"['apply a cold ice pack' 'raise the injured area'
 'apply pressure to stop bleeding' 'wash the area with warm, soapy water']"	4	3
NCEOGA_2013_5_8	Which best describes why winds at the beach change direction between day and night?	A	"['because the temperatures over land and over water change'
 'because warm air over land sinks and stays in place over land'
 'because cool air rises and is replaced by warm air from the ocean'
 'because cool air sinks and stays in place over land']"	4	0
Mercury_7017763	Soil erosion can be best prevented by	B	"['removing grass from the steepest slope.'
 'building terraces into the sides of a slope.'
 'heavily watering the vegetation on the slope.'
 'increasing the slope of the land by adding more soil.']"	4	1
MCAS_1999_4_29	Which of the following properties provides the BEST way to identify a mineral?	A	['hardness' 'shape' 'size' 'temperature']	4	0
NYSEDREGENTS_2011_8_20	Which sequence represents the order of development for many plants?	1	"['seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows'
 'seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows'
 'seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit'
 'seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit']"	4	0
VASoL_2009_5_4	When ice cream is left out of a freezer, the ice cream changes from a ___.	C	['solid to a gas' 'gas to a liquid' 'solid to a liquid' 'liquid to a gas']	4	2
NYSEDREGENTS_2005_8_9	Which equipment will best separate a mixture of iron filings and black pepper?	1	['magnet' 'filter paper' 'triple-beam balance' 'voltmeter']	4	0
NAEP_2011_8_S11+3	Which characteristic is shared by all cells?	A	"['They need energy.' 'They reproduce sexually.'
 'They make their own food.' 'They move from place to place.']"	4	0
Mercury_7018305	On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?	B	"['birds with long, probing beaks' 'birds with thick, strong beaks'
 'birds with thin, short beaks' 'birds with large, pouch beaks']"	4	1
Mercury_7145250	A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?	B	"['Both have undergone similar mutations.'
 'Both descended from a common ancestor.'
 'Both reacted similarly to environmental pressures.'
 'Both spread out from the same geographical region.']"	4	1
Mercury_7220903	A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning	A	"['cell membrane.' 'endoplasmic reticulum.' 'Golgi body.'
 'nuclear envelope.']"	4	0
Mercury_SC_416457	Which best describes all unicellular organisms?	D	"['Every cell is round.' 'Every cell can make food.'
 'Every cell can move on its own.'
 'Every cell performs all life functions.']"	4	3
Mercury_7015313	When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?	D	"['Particles travel from right to left along the wave.'
 'Particles travel from left to right along the wave.'
 'Particles move back and forth parallel to the wave.'
 'Particles move back and forth perpendicular to the wave.']"	4	3
Mercury_7001663	Which characteristic below most likely accounts for our limited knowledge of galaxies?	D	"['their tiny size' 'their magnetic cores'
 'their inability to produce light' 'their great distance from Earth']"	4	3
Mercury_7172778	Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?	B	"['by adding carbon' 'by adding nitrogen' 'by removing excess water'
 'by removing excess minerals']"	4	1
Mercury_7024168	When oxygen combines with hydrogen, which substance is formed?	A	['water' 'vinegar' 'hydrochloric acid' 'hydrogen dioxide']	4	0
Mercury_7150360	When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?	A	['chemical energy' 'kinetic energy' 'light energy' 'heat energy']	4	0
Mercury_7071558	Which of the following is a typical example of a unicellular organism?	B	['earthworm' 'bacteria' 'fungi' 'green algae']	4	1
Mercury_7245403	Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?	D	"['erosion of sediment from a mountain range'
 'mass extinction of marine organisms' 'formation of an ocean trench'
 'melting of polar ice caps']"	4	3
Mercury_SC_401822	Which body system is most responsible for the removal of waste?	D	['skeletal system' 'nervous system' 'muscular system' 'excretory system']	4	3
OHAT_2007_8_23	In which environment is white fur color an advantage for survival?	C	['desert' 'grassland' 'arctic tundra' 'temperate forest']	4	2
Mercury_7212380	Which of these will best separate iron filings from sand?	C	['water' 'a magnifying glass' 'a magnet' 'rubbing alcohol']	4	2
Mercury_414132	Which of these is the chemical symbol for magnesium?	B	['Ma' 'Mg' 'Mn' 'Mu']	4	1
Mercury_7121800	Which of the following is most likely to lead to error in an experiment?	A	['bias' 'repeated trials' 'peer review' 'use of a control']	4	0
MCAS_2001_8_2	Which best describes transportation technology?	A	"['a system that is used to move people and products'
 'an enterprise that changes raw materials into goods'
 'the building and finishing of structures'
 'the conversion of mechanical energy into heat energy']"	4	0
Mercury_7121765	In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?	D	['radiant energy' 'nuclear energy' 'electrical energy' 'mechanical energy']	4	3
Mercury_7011165	Which characteristic is affected by interactions with the environment?	A	['weight' 'eye color' 'blood type' 'handedness']	4	0
Mercury_7033793	Which is the greatest impact humans have had on the carbon cycle?	C	"['clear-cutting forests' 'manufacturing plastics' 'burning fossil fuels'
 'growing agricultural crops']"	4	2
Mercury_SC_400301	The floating arrow on a compass always points towards the	D	['west.' 'east.' 'south.' 'north.']	4	3
